workload,D,variant,linksTraversed,edgeAllocations,edgeLinks,edgeUnlinks,edgeMoves,callbackDependencyReads,stableEdgesEligible,stableEdgesRetained,dependencyDelta,physicalMutations,totalAmplification,mutationAmplification,mean,median,p75,p95,p99,variance,rme95Percent,opsPerSecond,batchIterations,wallTimeMs
reorder,31,before,425.0625,0,0,0,27.625,32,32,32,0,27.625,452.6875,27.625,711.4213053385422,719.1955566406248,730.7174682617181,747.3468017578123,767.4307861328145,881.4523859570415,2.3112888740668818,1405636.8462624727,32768,349.6778000000002
reorder,31,after,425.0625,0,0,0,27.625,32,32,32,0,27.625,452.6875,27.625,742.489624023438,736.5447998046865,763.2812500000009,788.3801269531249,790.7863769531242,1000.262923272587,2.359110934676876,1346820.1677770964,32768,364.94850000000025
reorder,32,before,454.125,0,0,0,27.8125,33,33,33,0,27.8125,481.9375,27.8125,755.6811523437499,748.0590820312505,768.2403564453125,827.6123046875006,881.1547851562513,2240.6246803169083,3.4691863920499104,1323309.436656576,32768,371.4324
reorder,32,after,454.125,0,0,0,27.8125,33,33,33,0,27.8125,481.9375,27.8125,805.3230794270836,810.5773925781261,839.5980834960942,861.2243652343726,893.5583496093735,2321.623173231844,3.3136557358200416,1241737.6647288091,32768,395.83240000000006
reorder,33,before,480,0,0,0,28.6875,34,34,34,0,28.6875,508.6875,28.6875,775.5098470052094,764.9230957031267,797.0642089843759,833.122253417971,853.2797241210973,1379.743811097997,2.6527332301127826,1289474.2779369024,32768,381.17860000000053
reorder,33,after,480,0,0,0,28.6875,34,34,34,0,28.6875,508.6875,28.6875,814.0118408203125,810.250854492189,836.0031127929678,876.0580444335952,902.5797729492219,1635.6411693352095,2.7516612080067513,1228483.3584143687,32768,400.1031
reorder,64,before,1543.9375,0,0,0,59.3125,65,65,65,0,59.3125,1603.25,59.3125,2412.4918619791674,2371.8872070312495,2503.3630371093727,2567.208251953129,2572.054931640625,11661.30465411022,2.4790733729622283,414509.17027326964,8192,296.44700000000006
reorder,64,after,1543.9375,0,0,0,59.3125,65,65,65,0,59.3125,1603.25,59.3125,2442.3876953124986,2500.976562499993,2525.4577636718777,2557.6232910156205,2578.507080078132,11420.31532951767,2.423294024559404,409435.40696639975,8192,300.12059999999985
reorder,256,before,9174.3125,0,0,0,249.1875,257,257,257,0,249.1875,9423.5,249.1875,13122.659505208327,13079.980468750002,13614.965820312518,13751.259765624975,13833.728515624945,255784.053620836,2.134501869661136,76204.06515943696,2048,403.12809999999985
reorder,256,after,9174.3125,0,0,0,249.1875,257,257,257,0,249.1875,9423.5,249.1875,13162.298177083323,12915.673828124975,13440.161132812489,14268.525390625,14559.408203124989,387863.9374006409,2.6205330592782365,75974.57423818925,2048,404.3457999999996
reorder,1024,before,40482.25,0,0,0,1016.125,1025,1025,1025,0,1016.125,41498.375,1016.125,58568.6458333333,58465.624999999745,59870.70312499998,61198.4375,61387.65625000001,3480179.399036365,1.764076035036089,17073.981919364574,512,449.80719999999974
reorder,1024,after,40482.25,0,0,0,1016.125,1025,1025,1025,0,1016.125,41498.375,1016.125,59997.031249999985,58525.585937500015,62253.7109375001,63495.703125000015,64659.45312499997,6951711.99907579,2.433872319220275,16667.491360249598,512,460.7771999999999
reorder,4096,before,166151.25,0,0,0,4086.25,4097,4097,4097,0,4086.25,170237.5,4086.25,292627.0833333332,292949.2187499996,303035.1562500009,307486.87499999965,307877.99999999895,103143737.15355791,1.9221557707637111,3417.3186863257433,128,561.8439999999999
reorder,4096,after,166151.25,0,0,0,4086.25,4097,4097,4097,0,4086.25,170237.5,4086.25,299260.41666666657,298530.4687500001,304588.2812499991,320463.51562499994,320743.9531250002,139384305.21647406,2.184939057107881,3341.5712346409564,128,574.5799999999998
